 Title Location eBaySite StartDateTime EndDateTime Category ListingType ItemCondition ListingSold ShippingLocations ShippingCost EndingPrice Currency
21 "Teenage Mutant Ninja Turtles - NES" "Paignton,United Kingdom" EBAY-GB 2016-04-03T16:47:01.000Z 2016-04-10T16:47:01.000Z Games Auction 4000 EndedWithoutSales Worldwide 0.0 9.99 GBP
22 "Nintendo NES Teenage Mutant Ninja Turtles - PAL" "Leicester,United Kingdom" EBAY-GB 2016-04-09T20:02:57.000Z 2016-04-10T15:53:38.000Z Games StoreInventory 4000 EndedWithSales GB 2.75 6.85 GBP
23 "Ninja Turtles Nes FRIDGE MAGNET (2 x 3 inches) video game box teenage mutant" USA EBAY-US 2016-03-30T01:12:02.000Z 2016-04-10T02:34:05.000Z Magnets StoreInventory 1000 EndedWithSales Worldwide 8.95 3.45 GBP
24 "TEENAGE MUTANT NINJA TURTLES 2 NES Nintendo Controller Overlay Sticker" "Oxford,United Kingdom" EBAY-GB 2016-03-09T18:35:37.000Z 2016-04-08T18:35:37.000Z Controllers FixedPrice 1000 EndedWithSales Worldwide 0.0 3.5 GBP
25 "TEENAGE MUTANT NINJA TURTLES 3 NES Nintendo Controller Overlay Sticker" "Oxford,United Kingdom" EBAY-GB 2016-03-09T18:34:59.000Z 2016-04-08T18:34:59.000Z Controllers FixedPrice 1000 EndedWithoutSales Worldwide 0.0 3.5 GBP
26 "NES GAME TEENAGE MUTANT NINJA TURTLES NINTENDO CAN'T GET TO LOAD" "Southampton,United Kingdom" EBAY-GB 2016-03-31T18:29:52.000Z 2016-04-07T18:29:52.000Z Consoles Auction 7000 EndedWithSales GB 2.99 3.2 GBP
27 "TEENAGE MUTANT NINJA TURTLES. NINTENDO FAMICOM.NES. JAPAN IMPORT.QUICK DELIVERY." "Buckley,United Kingdom" EBAY-GB 2016-03-03T12:17:25.000Z 2016-04-07T08:57:47.000Z Games StoreInventory 4000 EndedWithSales AU 0.0 13.99 GBP
28 "Teenage Mutant Ninja Turtles NES" "London,United Kingdom" EBAY-GB 2016-03-29T19:50:36.000Z 2016-04-05T19:50:36.000Z Games Auction 6000 EndedWithSales GB 1.26 10.5 GBP
29 "Teenage Mutant Hero Turtles In Time IV SNES Game PAL Super NES Nintendo Ninja 4" "Norwich,United Kingdom" EBAY-GB 2016-03-19T20:21:04.000Z 2016-04-04T20:22:50.000Z Games FixedPrice 6000 EndedWithSales Worldwide 0.0 60.0 GBP
30 "TEENAGE MUTANT HERO TURTLES - Nintendo Entertainment System (NES) Game (NINJA)" "Swansea,United Kingdom" EBAY-GB 2016-03-30T11:39:52.000Z 2016-04-04T11:39:52.000Z Games FixedPrice 4000 EndedWithoutSales GB 0.0 10.99 GBP
