Title,Company,Rarity,Price ($)
Puss 'N Boots,Electro Brain,B,3
Puzzle,American Video,A-,5
Puzznic,Taito,B+,6
Pyramid,American Video,A-,7
Pyramids of Ra,Matchbox,PROT,OTYPE ONLY
Q*Bert,Ultra,C+,4
Qix,Taito,A,11
Quantum Kabuki Fighter,HAL,B-,2
Quattro Adventure,Camerica,B,4
Quattro Adventure (Aladdin Cart),Camerica,A+,35+ ?
Quattro Arcade,Camerica,A-,7
Quattro Sports,Camerica,B,5
Quattro Sports (Aladdin Cart),Camerica,A+,35+ ?
R.B.I. Baseball (licensed),Tengen,C+,4
R.B.I. Baseball (unlicensed),Tengen,C,3
R.B.I. Baseball 2,Tengen,C+,5
R.B.I. Baseball 3,Tengen,B-,8
R.C. Pro-Am Racing,Nintendo,D,3
R.C. Pro-Am Racing 2,Tradewest,B,13
Race America,Absolute,B+,6
Racket Attack,Jaleco,C,3
Rad Gravity,Activision,B,3
Rad Racer,Nintendo,D,3
Rad Racer 2,Square,C+,5
Rad Racket,American Video,A-,8
Raid 2020,Color Dreams,B,4
Raid on Bungling Bay,Broderbund,B,3
Rainbow Island,Taito,A-,15+ ?
Rally Bike,Romstar,B+,3
Rambo,Acclaim,D,2
Rampage,Data East,C,5
Rampart,Jaleco,B,5
Remote Control,Hi Tech,C,3
Ren and Stimpy: Buckaroos,T*HQ,B,6
Renegade,Taito,C-,3
Rescue: Embassy Mission,Kemco,C+,2
Ring King,Data East,C,4
River City Ransom,American Technos,C,10
Road Blasters,Mindscape,C+,4
Road Runner,Tengen,B,3
Robin Hood: Prince of Thieves,Virgin,C+,4
Robocop,Data East,C,2
Robocop 2,Data East,B-,3
Robocop 3,Ocean,B,4
Robo Demons,Color Dreams,B+,3
Robo Warrior,Jaleco,B-,2
Rock N' Ball,NTVIC,B,3
Rocket Ranger,Kemco,C+,3
Rocketeer,Bandai,C+,3
Rockin' Kats,Atlus,B+,5
Rocky and Bullwinkle,T*HQ,B-,4
Roger Clemens Baseball,LJN,C,2
Roller Games,Ultra,C+,2
Rollerball,HAL,B,3
Rollerblade Racer,Hi Tech,B,3
Rolling Thunder,Tengen,C+,3
Romance of the Three Kingdoms,Koei,C+,6
